title,genre,classification,duration,synopsis,url
Nazis at the Center of the Earth,Horror,N/A,1hr 29 min,Investigadores en la Antártida son secuestrados por un equipo de soldados de asalto enmascarados. Se arrastran profundamente a un continente oculto en el centro de la tierra.,https://pluto.tv/on-demand/movies/5e50536f808a36c7b429c045/details
Mega Piranha,Horror,N/A,1hr 32 min,Una cepa mutante de pirañas feroces gigantes escapan del Amazonas y se dirigen a Florida.,https://pluto.tv/on-demand/movies/5e50535b1eeaf7c7a2d0a893/details
Ciudad Sitiada,Action & Adventure,R,1hr 51 min,"Cuando el payaso de circo Sunny se transforma en un mutante con superpoderes, se enfrenta a sus compañeros, que fueron alterados en el mismo accidente y ahora están usando sus poderes para causar estragos en la ciudad.",https://pluto.tv/on-demand/movies/62bc8eed5d2a85001328b61a/details
El agujero negro,Sci-Fi & Fantasy,N/A,1hr 51 min,Un thriller de ciencia ficción centrado en un violinista de secundaria que es testigo del colapso del espacio y el tiempo.,https://pluto.tv/on-demand/movies/62b225ba65c30400136c1774/details
La Leyenda de la Tumba del Dragón,Action & Adventure,TV-14,1hr 32 min,"Travis es un reconocido paleontólogo que pretende demostrar la existencia de una criatura prehistórica en una zona remota donde varios trabajadores han sido atacados. Para ello, no duda en desplazarse hasta allí con un equipo de expertos.",https://pluto.tv/on-demand/movies/609bf0b141fc480013277eac/details
La Colonia,Sci-Fi & Fantasy,R,1hr 34 min,"Bajo la superficie helada, los sobrevivientes de la Colonia 7 luchan mientras los alimentos y las temperaturas bajan. Luego de una expedición descubren una amenaza peor de lo imaginado.",https://pluto.tv/on-demand/movies/5f7357d176c54900134c36a3/details
Oceans Rising,Action & Adventure,N/A,1hr 27 min,"Un científico construye un arca enorme después de que se ignoran sus advertencias de una inundación que destruirá la Tierra. El desastre es inevitable, y los que difamaron al científico suben al arca desesperados, antes de que el mundo se ahogue.",https://pluto.tv/on-demand/movies/5fb59a4ac02a73001449dd97/details
Araña en el ático,Sci-Fi & Fantasy,TV-14,1hr 22 min,"Un locutor de radio, desesperado por los índices de audiencia, investiga una casa misteriosa en el campo, solo para descubrir que está habitada por arañas gigantes que están empeñadas en proteger su tierra.",https://pluto.tv/on-demand/movies/627c0a2455812e0013ede101/details
Apocalipsis en Los Ángeles,Sci-Fi & Fantasy,TV-14,1hr 23 min,"Se detecta actividad volcánica en el núcleo de la Tierra y los científicos descubren que la ciudad de LA está a punto de ser borrada del mapa. Un hombre vuelve a la ciudad para encontrar a su novia, pero descubre que ha sido secuestrada.",https://pluto.tv/on-demand/movies/5f493b5c9dd795001ab56627/details
Age of Ice,Action & Adventure,N/A,1hr 24 min,"Los terremotos masivos abren la placa tectónica árabe, lo que produce temperaturas de congelación que serán fatales al anochecer.",https://pluto.tv/on-demand/movies/5e505277e1b2a8c69a9b68f3/details
El proyecto supermente,Sci-Fi & Fantasy,TV-14,1hr 28 min,"En Los Ángeles, la tierra comienza a temblar y los edificios se vienen abajo. La gente entra en pánico. Cuando se procede a revisar los daños todo se encuentra como si nada hubiera pasado, excepto por las calles repletas de cadáveres.",https://pluto.tv/on-demand/movies/5f4817bb17dc86001a79e461/details
"Young Ones, la próxima generación",Sci-Fi & Fantasy,TV-MA,1hr 37 min,"En un futuro en donde escasea el agua, un granjero defiende su tierra y espera rejuvenecer sus tierras. Sin embargo, el novio de su hija intenta robarle sus propiedades.",https://pluto.tv/on-demand/movies/604b91f1b2b870001a05f115/details
Mega Shark vs Crocosaurus,Action & Adventure,N/A,1hr 28 min,"El enorme tiburón prehistórico ha sobrevivido a la última batalla, y el mundo se ve amenazado nuevamente cuando se descubre un enemigo nuevo y más peligroso en las selvas de África.",https://pluto.tv/on-demand/movies/5dc92f6eaeb86de95662f643/details
Abominable,Sci-Fi & Fantasy,R,1hr 32 min,"Un hombre, lisiado en un accidente de escalada, regresa a su cabaña en el bosque como parte de su rehabilitación, pero no estaba preparado para el ataque inminente.",https://pluto.tv/on-demand/movies/62f55050ce5c48001b1b29b6/details
War of the Worlds 2: The Next Wave,Action & Adventure,N/A,1hr 27 min,"Dos años después de la invasión marciana, se dan cuenta de los peores temores de George Herbert: han regresado.",https://pluto.tv/on-demand/movies/5dc92f1f045f36ab79e54d13/details
Apocalypse Pompeii,Action & Adventure,R,1hr 27 min,"Cuando un antiguo comando de Operaciones Especiales visita Pompeya, su esposa y su hija quedan atrapadas en el Monte Vesubio que entra en erupción con una fuerza masiva.",https://pluto.tv/on-demand/movies/5dc93103f08b13358b706a02/details
The Apocalypse,Action & Adventure,N/A,1hr 34 min,"En esta película épica de desastres, una madre y un padre buscan a su único hijo, mientras que un asteroide gigante que se dirige a la Tierra desencadena una serie de eventos apocalípticos.",https://pluto.tv/on-demand/movies/5dc9311f5d8921a9df9d54fb/details
Invasión Robótica,Sci-Fi & Fantasy,TV-MA,1hr 34 min,"Cuando un avión que transportaba a un par de robots militares se estrella en una isla desierta del Pacífico, un equipo debe desactivarlos tan pronto como sea posible porque cuanto más tiempo permanezcan activados, más inteligentes se volverán.",https://pluto.tv/on-demand/movies/5f50f118db45a1001a798ea0/details
Los Muertos,Documentary,R,1hr 40 min,"El teniente Brian Murphy deberá formar equipo con Daniel Dembele para enfrentarse y sobrevivir al terrorífico peligro que los acecha, encarnado en una horda de muertos vivientes en el continente africano.",https://pluto.tv/on-demand/movies/6346b61bf030950013a0cc44/details
Battle of Los Angeles,Sci-Fi & Fantasy,N/A,1hr 31 min,"En febrero de 1942, las fuerzas estadounidenses atacaron un objeto volador no identificado sobre Los Ángeles. Ahora, casi 70 años después, los invasores extraterrestres han regresado.",https://pluto.tv/on-demand/movies/5fb59ae8bf80f1001386210f/details
Spiders,Sci-Fi & Fantasy,TV-14,1hr 29 min,Unas arañas empiezan a transformarse en monstruos gigantes después de que una vieja estación espacial se estrella en el túnel del metro de la Ciudad de Nueva York.,https://pluto.tv/on-demand/movies/60b53c26e36d58001a68e5c6/details
500 MPH Storm,Action & Adventure,N/A,1hr 27 min,"Cuando un experimento de energía se descontrola, una serie de huracanes masivos azotan América del Norte. Un científico debe poner a su familia a salvo antes de que los huracanes se fusionen.",https://pluto.tv/on-demand/movies/5dc93115010fbb45854dc76a/details
